Location,Location,FIPS,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Aleutians West Census Area, AK",Aleutians West Census Area,#N/A,0.769346,7.4,13.8,31.1,2.3,4.8,14.6,29.2
"Queens County, NY",Queens County,36081,0.742224,20.9,1.3,25.2,0.2,2.7,28,26.7
"Maui County, HI",Maui County,15009,0.740757,0.8,0.6,28.8,10.6,23.3,10.7,31.5
"Alameda County, CA",Alameda County,6001,0.740399,12.4,1.2,28.2,1,5.2,22.7,33.2
"Aleutians East Borough, AK",Aleutians East Borough,#N/A,0.738867,7.7,21.8,41.4,0.7,3.7,13.5,12.9
"Hawaii County, HI",Hawaii County,15001,0.738772,0.8,0.6,22.1,12.7,29.5,12.2,30.7
"Fort Bend County, TX",Fort Bend County,48157,0.736427,21.2,0.6,18.4,0.1,2,24,35.6
HAWAII,HAWAII,#N/A,0.731461,2.3,0.4,37.7,10,23.1,9.8,23
"Kauai County, HI",Kauai County,15007,0.730326,0.7,0.5,31.3,9.1,24.6,10.5,30.3
"Solano County, CA",Solano County,6095,0.725821,14.9,1.3,15.4,1,6.7,25.2,40
"Honolulu County, HI",Honolulu County,15003,0.71441,3,0.4,42.6,9.4,21.7,9.2,19.7
"Robeson County, NC",Robeson County,37155,0.704067,24.7,39.5,0.7,0.1,2.5,8,26.8
"Gwinnett County, GA",Gwinnett County,13135,0.702974,26.3,0.8,11.2,0.1,2.4,20.4,41.6
"Yakutat City and Borough, AK",Yakutat City and Borough,#N/A,0.698748,0.9,36.6,5.6,1.4,15.9,3.1,37.1
"Santa Clara County, CA",Santa Clara County,6085,0.694312,2.9,1.4,34.1,0.5,4,26.8,33.9
"Kings County, NY",Kings County,6031,0.692349,35.4,1,11.7,0.1,2.3,19.6,36
"San Mateo County, CA",San Mateo County,6081,0.691029,3,0.9,26.9,1.6,4.4,25.4,41.1
"Manassas Park city, VA",Manassas Park city,51685,0.690899,15,1.3,9.7,0.3,3.7,34.7,39.4
"Dallas County, TX",Dallas County,1047,0.69039,23.1,1.1,5.7,0.1,1.7,39,31.7
"Montgomery County, MD",Montgomery County,1101,0.687803,18.6,0.7,14.9,0.1,3.1,18.3,47
"Sacramento County, CA",Sacramento County,6067,0.687281,10.8,1.6,15.4,1.2,5.9,22.3,47.3
"Contra Costa County, CA",Contra Costa County,6013,0.686497,9.6,1,15.9,0.6,5,24.9,46.3
"Hoke County, NC",Hoke County,37093,0.686301,34.1,9.6,1.5,0.4,4.1,12.2,41.4
"San Joaquin County, CA",San Joaquin County,6077,0.685223,8.1,2,15.7,0.7,5.1,40.1,34.6
"Cook County, IL",Cook County,13075,0.684969,24.6,0.8,6.9,0.1,1.8,24.7,43.4
"Harris County, TX",Harris County,13145,0.682123,19.5,1.1,6.8,0.1,1.7,41.6,31.9
"Prince William County, VA",Prince William County,51153,0.681277,21.4,1.1,8.2,0.2,4.2,21.5,46.7
"Hudson County, NJ",Hudson County,34017,0.681081,15.1,1.2,15,0.2,2.5,42.9,29.8
"San Francisco County, CA",San Francisco County,6075,0.679829,6,0.8,34.4,0.5,4.1,15.3,41.6
