"STATE_NAME","STATEFIPS","B01003"
"Alaska","02",733375
"Alabama","01",4830620
"Arkansas","05",2958208
"Arizona","04",6641928
"California","06",38421464
"Colorado","08",5278906
"Connecticut","09",3593222
"District of Columbia","11",647484
"Delaware","10",926454
"Florida","12",19645772
"Georgia","13",10006693
"Hawaii","15",1406299
"Iowa","19",3093526
"Idaho","16",1616547
"Illinois","17",12873761
"Indiana","18",6568645
"Kansas","20",2892987
"Kentucky","21",4397353
"Louisiana","22",4625253
"Massachusetts","25",6705586
"Maryland","24",5930538
"Maine","23",1329100
"Michigan","26",9900571
"Minnesota","27",5419171
"Missouri","29",6045448
"Mississippi","28",2988081
"Montana","30",1014699
"North Carolina","37",9845333
"North Dakota","38",721640
"Nebraska","31",1869365
"New Hampshire","33",1324201
"New Jersey","34",8904413
"New Mexico","35",2084117
"Nevada","32",2798636
"New York","36",19673174
"Ohio","39",11575977
"Oklahoma","40",3849733
"Oregon","41",3939233
"Pennsylvania","42",12779559
"Puerto Rico","72",3583073
"Rhode Island","44",1053661
"South Carolina","45",4777576
"South Dakota","46",843190
"Tennessee","47",6499615
"Texas","48",26538614
"Utah","49",2903379
"Virginia","51",8256630
"Vermont","50",626604
"Washington","53",6985464
"Wisconsin","55",5742117
"West Virginia","54",1851420
"Wyoming","56",579679
