"STATE","RELIG","POPWGHT"
"AL","1",2.00181481481482
"AL","2",12.3026296296296
"AL","3",0.165851851851852
"AL","4",0.093888888888889
"AL","5",0.085925925925926
"AL","6",1.05025925925926
"AL","7",0.057962962962963
"AL","8",2.2322962962963
"AL","9",0.888592592592594
"AL","10",0.384851851851852
"AL","11",0.038962962962963
"AL","12",0.601074074074075
"AL","13",0.055888888888889
"AL","14",0.248851851851852
"AL","15",0.050962962962963
"AL","17",6.09733333333334
"AL","18",0.323555555555556
"AL","19",1.25133333333333
"AL","20",0.199666666666667
"AL","21",0.165814814814815
"AL","22",0.766185185185186
"AL","23",0.324666666666667
"AL","24",0.189814814814815
"AL","25",0.022962962962963
"AL","26",0.175925925925926
"AL","27",0.018962962962963
"AL","28",0.00896296296296296
"AL","29",0.088925925925926
"AL","30",0.041
"AL","31",0.015962962962963
"AL","36",0.560555555555556
"AL","39",0.060925925925926
"AL","60",0.093814814814815
"AL","63",0.044925925925926
"AL","72",0.014962962962963
"AL","79",0.197814814814815
"AL","90",0.315962962962963
"AL","92",0.08
"AL","95",3.351
"AL","98",0.172851851851852
"AL","99",0.785444444444445
"AR","1",1.97074074074074
"AR","2",6.56955555555556
"AR","4",0.112888888888889
"AR","6",0.477592592592593
"AR","7",0.070925925925926
"AR","8",1.33211111111111
"AR","9",0.77388888888889
"AR","11",0.00896296296296296
"AR","12",0.374666666666667
"AR","14",0.312666666666667
"AR","15",0.012962962962963
"AR","17",3.36474074074074
"AR","18",0.119740740740741
"AR","19",1.7302962962963
"AR","20",0.152851851851852
"AR","21",0.0388888888888889
"AR","22",0.67662962962963
"AR","23",0.126851851851852
"AR","25",0.102851851851852
"AR","29",0.099888888888889
"AR","31",2.734
"AR","36",0.541518518518519
"AR","60",0.020962962962963
"AR","61",0.078962962962963
"AR","62",0.107888888888889
"AR","63",0.036962962962963
"AR","79",0.213851851851852
"AR","90",0.163
"AR","91",0.080962962962963
"AR","95",1.78959259259259
"AR","98",0.205962962962963
"AR","99",0.645518518518519
"AZ","1",12.847962962963
"AZ","2",1.4087037037037
"AZ","3",0.063962962962963
"AZ","6",0.417740740740741
"AZ","8",2.72777777777778
"AZ","9",0.432407407407408
"AZ","12",0.113777777777778
"AZ","14",1.20540740740741
"AZ","17",8.92525925925927
"AZ","18",0.551555555555556
"AZ","19",0.285814814814815
"AZ","20",0.195703703703704
"AZ","21",1.23688888888889
"AZ","22",0.112851851851852
"AZ","23",0.449851851851852
"AZ","24",0.091925925925926
"AZ","27",0.010962962962963
"AZ","30",0.045888888888889
"AZ","31",0.098925925925926
"AZ","36",0.75025925925926
"AZ","37",0.042
"AZ","39",1.14992592592593
"AZ","44",0.023962962962963
"AZ","60",0.558444444444445
"AZ","62",0.036962962962963
"AZ","63",0.977851851851852
"AZ","64",0.062925925925926
"AZ","65",0.170851851851852
"AZ","68",0.086925925925926
"AZ","69",0.018962962962963
"AZ","78",0.152851851851852
"AZ","79",0.562740740740741
"AZ","90",0.101888888888889
"AZ","91",0.352592592592593
"AZ","95",7.09744444444445
"AZ","98",0.239814814814815
"AZ","99",2.0812962962963
"CA","1",100.446148148148
"CA","2",8.69348148148149
"CA","3",0.320851851851852
"CA","5",0.081925925925926
"CA","6",0.782444444444445
"CA","7",0.016962962962963
"CA","8",13.2502222222222
"CA","9",1.45
"CA","10",0.112962962962963
"CA","11",0.317888888888889
"CA","12",0.919074074074075
"CA","13",0.035925925925926
"CA","14",3.00681481481482
"CA","15",0.109925925925926
"CA","17",50.310962962963
"CA","18",1.87633333333334
"CA","19",2.40070370370371
"CA","20",1.25951851851852
"CA","21",3.30344444444445
"CA","22",0.258777777777778
"CA","23",4.1927037037037
"CA","24",0.58762962962963
"CA","25",0.107925925925926
"CA","26",0.056962962962963
"CA","27",0.034925925925926
"CA","28",0.017962962962963
"CA","29",0.081925925925926
"CA","30",0.353555555555556
"CA","31",1.0877037037037
"CA","32",0.029962962962963
"CA","33",0.444703703703704
"CA","34",0.018962962962963
"CA","35",0.112925925925926
"CA","36",3.74192592592593
"CA","37",0.017962962962963
"CA","39",0.224814814814815
"CA","40",0.089851851851852
"CA","47",0.077962962962963
"CA","60",3.915
"CA","61",1.72040740740741
"CA","62",3.59122222222222
"CA","63",0.429296296296297
"CA","64",0.935555555555556
"CA","65",0.090888888888889
"CA","66",0.180851851851852
"CA","68",0.078962962962963
"CA","69",0.094962962962963
"CA","70",0.025962962962963
"CA","72",0.433851851851852
"CA","73",0.335851851851852
"CA","74",0.00896296296296296
"CA","77",0.336703703703704
"CA","78",0.901407407407408
"CA","79",1.29581481481482
"CA","90",1.61244444444445
"CA","91",4.90581481481482
"CA","92",0.106888888888889
"CA","93",0.00696296296296296
"CA","95",44.6311481481482
"CA","98",2.21625925925926
"CA","99",11.3174444444445
"CO","1",8.06492592592593
"CO","2",1.46881481481482
"CO","3",0.107962962962963
"CO","5",0.041
"CO","6",0.147962962962963
"CO","8",2.38162962962963
"CO","9",0.896925925925927
"CO","12",0.29862962962963
"CO","14",1.2127037037037
"CO","15",0.041925925925926
"CO","16",0.020962962962963
"CO","17",7.32255555555556
"CO","18",0.653148148148149
"CO","19",0.378666666666667
"CO","20",0.311703703703704
"CO","21",1.20444444444445
"CO","22",0.139777777777778
"CO","23",0.337851851851852
"CO","24",0.097962962962963
"CO","26",0.013962962962963
"CO","30",0.134888888888889
"CO","31",0.631888888888889
"CO","33",0.038962962962963
"CO","36",0.729518518518519
"CO","39",0.041
"CO","40",0.015962962962963
"CO","60",0.40762962962963
"CO","61",0.213888888888889
"CO","62",0.106888888888889
"CO","63",0.203777777777778
"CO","64",0.074925925925926
"CO","68",0.043962962962963
"CO","73",0.209888888888889
"CO","77",0.065962962962963
"CO","78",0.043888888888889
"CO","79",0.31962962962963
"CO","90",0.287814814814815
"CO","91",0.225777777777778
"CO","95",7.33225925925926
"CO","98",0.35562962962963
"CO","99",1.55266666666667
"CT","1",9.04755555555556
"CT","2",1.13359259259259
"CT","5",0.021962962962963
"CT","8",1.96737037037037
"CT","9",0.442851851851852
"CT","12",0.099888888888889
"CT","13",0.49
"CT","14",0.27662962962963
"CT","17",2.68937037037037
"CT","18",0.094814814814815
"CT","19",0.346740740740741
"CT","20",0.236666666666667
"CT","21",0.022962962962963
"CT","23",0.301888888888889
"CT","24",0.120888888888889
"CT","27",0.067851851851852
"CT","30",0.135777777777778
"CT","36",0.152814814814815
"CT","39",0.058851851851852
"CT","40",0.00596296296296296
"CT","60",0.541296296296297
"CT","61",0.559814814814815
"CT","62",0.115925925925926
"CT","63",0.119888888888889
"CT","64",0.037962962962963
"CT","66",0.015962962962963
"CT","73",0.343962962962963
"CT","77",0.003
"CT","78",0.086962962962963
"CT","79",0.0638148148148149
"CT","90",0.092851851851852
"CT","91",0.413925925925926
"CT","95",2.80374074074074
"CT","98",0.204888888888889
"CT","99",0.845037037037038
"DC","1",0.56162962962963
"DC","2",1.03344444444445
"DC","3",0.080925925925926
"DC","8",0.143851851851852
"DC","9",0.021962962962963
"DC","10",0.018962962962963
"DC","12",0.043925925925926
"DC","14",0.055962962962963
"DC","17",0.591703703703704
"DC","19",0.056962962962963
"DC","20",0.029962962962963
"DC","21",0.036962962962963
"DC","23",0.025962962962963
"DC","24",0.133
"DC","36",0.246925925925926
"DC","60",0.027925925925926
"DC","61",0.221851851851852
"DC","63",0.017962962962963
"DC","79",0.059962962962963
"DC","91",0.030962962962963
"DC","95",0.742555555555556
"DC","98",0.055962962962963
"DC","99",0.134814814814815
"DE","1",1.51648148148148
"DE","2",0.892555555555556
"DE","8",0.366444444444445
"DE","9",0.366518518518519
"DE","12",0.020962962962963
"DE","17",0.693518518518519
"DE","18",0.124925925925926
"DE","19",0.083925925925926
"DE","20",0.022925925925926
"DE","30",0.050962962962963
"DE","36",0.126851851851852
"DE","39",0.050962962962963
"DE","40",0.026925925925926
"DE","63",0.032962962962963
"DE","64",0.035962962962963
"DE","79",0.00896296296296296
"DE","90",0.091962962962963
"DE","95",1.23644444444444
"DE","98",0.030962962962963
"DE","99",0.112851851851852
"FL","1",34.8122962962963
"FL","2",14.4858888888889
"FL","3",0.461851851851852
"FL","6",1.47196296296296
"FL","7",0.078925925925926
"FL","8",7.17125925925927
"FL","9",2.62914814814815
"FL","10",0.227851851851852
"FL","11",0.081925925925926
"FL","12",0.967777777777779
"FL","13",0.07
"FL","14",1.80288888888889
"FL","17",20.7612962962963
"FL","18",1.54577777777778
"FL","19",3.02385185185185
"FL","20",1.37362962962963
"FL","21",0.525592592592593
"FL","22",0.191851851851852
"FL","23",3.37059259259259
"FL","24",0.437703703703704
"FL","26",0.235888888888889
"FL","28",0.093962962962963
"FL","29",0.090925925925926
"FL","30",0.080888888888889
"FL","31",0.829703703703704
"FL","33",0.056962962962963
"FL","34",0.00996296296296296
"FL","35",0.024962962962963
"FL","36",2.27396296296296
"FL","39",0.344888888888889
"FL","60",2.86337037037037
"FL","61",0.639777777777778
"FL","62",0.390703703703704
"FL","63",0.129777777777778
"FL","64",0.166925925925926
"FL","67",0.015962962962963
"FL","68",0.041
"FL","71",0.306962962962963
"FL","73",0.067
"FL","74",0.055888888888889
"FL","77",0.324925925925926
"FL","78",0.020962962962963
"FL","79",0.889222222222223
"FL","90",0.999370370370371
"FL","91",1.0862962962963
"FL","92",0.057962962962963
"FL","93",0.00996296296296296
"FL","95",15.8632222222222
"FL","98",1.00648148148148
"FL","99",6.83651851851852
"GA","1",5.20492592592593
"GA","2",15.7524444444445
"GA","3",0.269703703703704
"GA","4",0.116888888888889
"GA","5",0.139962962962963
"GA","6",2.08366666666667
"GA","7",0.115851851851852
"GA","8",2.76144444444445
"GA","9",1.84885185185185
"GA","10",0.049925925925926
"GA","11",0.121925925925926
"GA","12",0.979555555555557
"GA","14",0.562481481481482
"GA","15",0.015962962962963
"GA","17",12.2738888888889
"GA","18",0.673074074074075
"GA","19",1.33333333333333
"GA","20",0.715296296296297
"GA","21",0.207851851851852
"GA","22",0.186888888888889
"GA","23",0.79762962962963
"GA","24",0.219814814814815
"GA","25",0.021962962962963
"GA","26",0.289851851851852
"GA","27",0.029925925925926
"GA","28",0.058962962962963
"GA","29",0.147925925925926
"GA","31",0.149888888888889
"GA","33",0.012962962962963
"GA","35",0.253925925925926
"GA","36",1.30022222222222
"GA","39",0.076962962962963
"GA","60",0.813074074074075
"GA","61",0.578925925925926
"GA","62",0.129851851851852
"GA","63",0.052962962962963
"GA","64",0.136962962962963
"GA","68",0.012962962962963
"GA","77",0.079925925925926
"GA","78",0.279888888888889
"GA","79",0.583777777777778
"GA","90",0.208814814814815
"GA","91",0.521703703703704
"GA","95",4.80411111111111
"GA","98",1.14462962962963
"GA","99",2.18844444444445
"IA","1",4.82566666666667
"IA","2",1.64077777777778
"IA","5",0.025962962962963
"IA","6",0.074962962962963
"IA","8",1.37811111111111
"IA","9",0.894703703703705
"IA","11",0.032925925925926
"IA","12",0.550074074074075
"IA","13",0.060962962962963
"IA","14",2.29966666666667
"IA","15",0.023925925925926
"IA","16",0.023925925925926
"IA","17",3.71170370370371
"IA","18",0.390370370370371
